estimate,lower,upper,n,width,label,includes_zero,note
126.83,88.04,171.21,150,83.17,all_mean,false,
38.87,35,48.5,150,13.5,all_median,false,
102.72,57.69,161.87,100,104.17,posts_mean,false,
350.05,126.59,643.85,7,517.27,reels_mean,false,
118.9,71.13,176.68,107,105.55,owned_mean,false,
146.58,89.17,215.9,43,126.74,third_party_mean,false,
247.33,7.78,561.92,107,554.14,reels_minus_posts,false,
113.96,55.14,195,63,139.85,pillar_food_mean,false,
24.64,15.2,36.06,14,20.86,pillar_general_brand_content_mean,false,
154,30.88,387.47,10,356.59,pillar_dinner_nightlife_mean,false,
208.29,11.6,575.35,5,563.75,pillar_cocktails_drinks_mean,false,
415.83,48.54,885.22,4,836.68,pillar_events_live_music_DJ_mean,false,
143.81,143.81,143.81,1,0,pillar_promotions_offers_mean,false,"n=1: observed value, no interval"
41.33,35,53,3,18,pillar_ambience_decor_vibe_mean,false,
103.22,29.76,189.64,5,159.88,pillar_date_night_romance_mean,false,
35.54,35.54,35.54,1,0,pillar_reservations_bookings_mean,false,"n=1: observed value, no interval"
133.41,133.41,133.41,1,0,pillar_birthdays_celebrations_mean,false,"n=1: observed value, no interval"
