label,n,mean,median,stddev,cv,p5,p25,p75,p95,min,max,skew,kurt,se
all_content_deduplicated,150,126.75,38.57,265.01,2.091,10,20.61,88.66,582.22,0,1827.76,3.881,16.563,21.638
posts,134,112.24,38.1,251.99,2.245,10,19.4,76.55,441,0,1827.76,4.452,21.903,21.769
reels,16,248.34,76.77,341.94,1.377,12.49,27.5,314.48,980.26,8.87,1162.34,1.544,1.214,85.484
owned_treehousegh,107,118.9,36,284.34,2.391,10,16.5,59,429,0,1827.76,4.03,16.956,27.488
third_party,43,146.3,71,211.06,1.443,17.05,33.5,139.33,658.27,4.69,919.57,2.506,5.678,32.187
pillar:food,76,108.41,35.5,267.62,2.468,9.52,17,65.66,408.39,0,1827.76,4.934,26.039,30.698
pillar:general brand/content,26,81.01,32.6,141.12,1.742,9.15,13.17,70.5,279.48,5,680,3.078,9.772,27.675
pillar:dinner/nightlife,12,151.75,48.5,329,2.168,15.4,33.36,87.67,613.34,11,1187.77,2.57,5.206,94.975
pillar:price/value,1,79.84,79.84,0,0,79.84,79.84,79.84,79.84,79.84,79.84,0,0,0
pillar:cocktails/drinks,8,261.27,55.59,411.08,1.573,10.05,15,298.01,927.4,9,931.62,0.931,-1.224,145.339
pillar:events/live music/DJ,5,358.17,127.51,472.7,1.32,45.34,53.87,403.9,1010.65,43.21,1162.34,0.849,-1.24,211.398
pillar:ambience/decor/vibe,10,184.47,44.5,281.78,1.528,22.84,34.41,195.64,691.28,17.48,878.28,1.488,0.825,89.107
pillar:promotions/offers,1,143.81,143.81,0,0,143.81,143.81,143.81,143.81,143.81,143.81,0,0,0
pillar:birthdays/celebrations,3,76.73,61.58,50.83,0.662,37.84,48.39,97.5,126.23,35.2,133.41,0.272,0,29.345
pillar:date night/romance,7,90.18,65.58,88.15,0.978,20.75,22.81,120.1,226.34,20.68,259.18,0.85,-0.887,33.319
pillar:reservations/bookings,1,35.54,35.54,0,0,35.54,35.54,35.54,35.54,35.54,35.54,0,0,0
day:Monday,14,223.65,60.49,362.71,1.622,15.9,32.91,148.25,1004.54,12,1162.34,1.662,1.22,96.939
day:Tuesday,34,130.23,23.73,285.76,2.194,8.9,13.17,38.94,586.44,5,1371.01,2.986,8.95,49.007
day:Wednesday,20,78.89,34.39,103.25,1.309,8.55,14.75,94.6,288.27,0,401.75,1.841,2.654,23.088
day:Thursday,26,111.71,30.97,282.4,2.528,10.25,17.15,37.64,722.97,8.87,1187.77,3.044,7.85,55.382
day:Friday,29,126.83,52,331.65,2.615,14.2,37.79,77.78,227.35,10,1827.76,4.642,20.864,61.586
day:Saturday,16,108.74,50.88,123.12,1.132,22.41,37.05,130.05,329.18,8.06,462.72,1.632,1.715,30.78
day:Sunday,11,141.31,83.24,190.94,1.351,18.74,39.61,142.5,460.98,4.69,680,1.965,2.82,57.57
comment_likes,106,0.7,1,0.75,1.068,0,0,1,2,0,3,0.814,0.129,0.072
