mix,mean_engagement,p25,p75,cv
dinner/nightlife:4.12 | food:0.85,5915,4177,7372,0.365
dinner/nightlife:4.29 | food:0.49 | general brand/content:0.23,5788,4121,7234,0.368
dinner/nightlife:4.46 | food:0.16 | general brand/content:0.38,5772,3950,7218,0.367
dinner/nightlife:4.23 | food:0.37 | general brand/content:0.4,5701,4023,7234,0.351
dinner/nightlife:3.39 | food:1.57,5663,4126,7011,0.365
dinner/nightlife:3.98 | food:0.7 | general brand/content:0.31,5627,4006,7173,0.384
dinner/nightlife:4.41 | food:0.13 | general brand/content:0.46,5608,3891,7167,0.372
dinner/nightlife:3.36 | food:1.46 | general brand/content:0.18,5579,4042,6850,0.375
dinner/nightlife:3.72 | food:0.84 | general brand/content:0.43,5491,3962,6682,0.368
dinner/nightlife:3.43 | food:1.39 | general brand/content:0.19,5441,4034,6622,0.361
dinner/nightlife:2.96 | food:1.83 | general brand/content:0.21,5422,3965,6652,0.37
dinner/nightlife:3.02 | food:1.81 | general brand/content:0.17,5371,3914,6553,0.38
dinner/nightlife:3.98 | food:0.24 | general brand/content:0.78,5309,3785,6472,0.387
dinner/nightlife:3.05 | food:1.74 | general brand/content:0.21,5284,3890,6494,0.371
dinner/nightlife:3.04 | food:1.76 | general brand/content:0.19,5281,3877,6571,0.38
dinner/nightlife:2.75 | food:1.94 | general brand/content:0.3,5262,3878,6469,0.374
dinner/nightlife:2.22 | food:2.61 | general brand/content:0.17,5215,3757,6459,0.382
dinner/nightlife:2.36 | food:2.44 | general brand/content:0.2,5197,3765,6408,0.376
dinner/nightlife:3.35 | food:0.82 | general brand/content:0.83,5186,3779,6340,0.385
dinner/nightlife:2.3 | food:2.65,5172,3757,6370,0.382
