id,post_url,comment_url,timestamp,date,day_of_week,hour_utc,text,text_length,likes,replies_count,primary_intent,all_intents
18123645904628332,https://www.instagram.com/p/DYLANuSDMuJ/,https://www.instagram.com/p/DYLANuSDMuJ/c/18123645904628332,2026-05-11T21:40:33.000Z,2026-05-11,Monday,21,How do i get the pictures,25,0,0,generic/unclear,generic/unclear
17872719402494757,https://www.instagram.com/p/DYLANuSDMuJ/,https://www.instagram.com/p/DYLANuSDMuJ/c/17872719402494757,2026-05-10T23:23:14.000Z,2026-05-10,Sunday,23,Next Stop ⏩️ Alora Beach - The La Beach Run - 30th May,54,0,0,generic/unclear,generic/unclear
18106224284310619,https://www.instagram.com/p/DYLANuSDMuJ/,https://www.instagram.com/p/DYLANuSDMuJ/c/18106224284310619,2026-05-10T23:22:39.000Z,2026-05-10,Sunday,23,🫱🏿‍🫲🏾💪🏾‼️,15,0,0,generic/unclear,generic/unclear
18036138512754235,https://www.instagram.com/p/DTWDF4zjZeL/,https://www.instagram.com/p/DTWDF4zjZeL/c/18036138512754235,2026-01-13T18:11:14.000Z,2026-01-13,Tuesday,18,Goddess 🧚🏻‍♀️🧚🏻‍♀️🧚🏻‍♀️🧚🏻‍♀️,36,0,0,generic/unclear,generic/unclear
17868311667536213,https://www.instagram.com/p/DTWDF4zjZeL/,https://www.instagram.com/p/DTWDF4zjZeL/c/17868311667536213,2026-01-12T23:41:57.000Z,2026-01-12,Monday,23,🔥🔥🔥,6,1,0,generic/unclear,generic/unclear
17930591031032847,https://www.instagram.com/p/DTWDF4zjZeL/,https://www.instagram.com/p/DTWDF4zjZeL/c/17930591031032847,2026-01-12T20:44:13.000Z,2026-01-12,Monday,20,❤️❤️❤️,6,1,0,generic/unclear,generic/unclear
18369560392090917,https://www.instagram.com/p/DTWDF4zjZeL/,https://www.instagram.com/p/DTWDF4zjZeL/c/18369560392090917,2026-01-12T12:42:46.000Z,2026-01-12,Monday,12,😍😍😍😍,8,1,0,generic/unclear,generic/unclear
17951796758935841,https://www.instagram.com/p/DTWDF4zjZeL/,https://www.instagram.com/p/DTWDF4zjZeL/c/17951796758935841,2026-01-12T10:13:13.000Z,2026-01-12,Monday,10,Superstar,9,0,0,generic/unclear,generic/unclear
18095584873932657,https://www.instagram.com/p/DTWDF4zjZeL/,https://www.instagram.com/p/DTWDF4zjZeL/c/18095584873932657,2026-01-12T05:57:02.000Z,2026-01-12,Monday,5,🥹😍,4,1,0,generic/unclear,generic/unclear
17872799799493663,https://www.instagram.com/p/DTWDF4zjZeL/,https://www.instagram.com/p/DTWDF4zjZeL/c/17872799799493663,2026-01-12T01:25:34.000Z,2026-01-12,Monday,1,@enid_blekk on guitar 🎸 @niiamateycongas_ on percussion @musical_jerry_ on saxophone🎷 ✨✨✨✨✨✨✨,95,1,0,event interest,event interest
