shortcode,content_type,cluster,engagement_score,pc1,pc2,caption_preview
DVd4t17DD2m,post,2,54.17,-0.086,0.201,"This Friday, it’s a special Independence Edition of Soul Fridays with @templegra"
DYLANuSDMuJ,post,7,141,-0.271,-0.082,Had an amazing time capturing the energy and passion of Run Club @valorcitywc @t
DYE86RUM7lM,post,7,103.7,-0.167,-0.014,Everyone at the Accra mixer made sure to show up and show out 💫🇬🇭 From indust
DYeKs1mja5p,post,2,71,-0.092,-0.011,VALORCITY- The City That Runs (TCTR)🏃‍♂️
DVyiMbpiIkL,post,2,1187.77,0.01,0.037,POV: You chose dinner at Treehouse Restaurant From the flames to your table. Boo
DVgIZ4VFNcO,post,2,12,-0.027,0.037,"Come for the meal, stay for the atmosphere. Your table is waiting!"
DYhwSa6saZL,reel,1,428.31,0.413,-0.262,"When the dinner turns into a dance floor, you know its a good night #treehousere"
DV38byyMtZO,post,1,67.63,0.42,-0.295,"Plates full 🍽, glasses clinking🥂, smiles everywhere. Tag a friend you're bring"
DYPsWk5tSgG,post,7,79.84,-0.346,-0.124,"At Valorcity, we Value Community. Under the umbrella of a community, nurturing s"
DU27VSsjIUh,post,2,9,-0.09,-0.021,Meet your new favorite sip: the Blueberry Paloma. 💜🍹
DTmOt3RiJMP,post,3,45.99,-0.314,-0.128,captured moments : @afroson1cx @the.cavemen #throwback
DTqC6IsDN1D,post,2,43.21,-0.162,-0.073,AFROSONIC was more than an event... it was a movement. Two locations. Multiple a
DUs82s7DKiN,post,2,11,-0.039,0.013,"Another night, another table of happy guests. ✨"
DTnm_J3iLA0,post,3,48,-0.389,-0.146,Picture summary @afroson1cx @the.cavemen @treehousegh #throwback
DTg9vFniCRV,post,3,97,-0.358,-0.238,@the.cavemen had us on our feet and in our feels at @afroson1cx 2026 #thecavemen
DUiBcK5jEZ0,post,6,41.65,0.033,0.148,Love on the plate. Rhythm in the air. 🌹🎶 Treehouse Rhythms: Valentine’s Day Ed
DTmIxc1CFcO,post,3,137.67,-0.326,-0.23,Captured Moments last Saturday at @afroson1cx / @malaikurd 🙏🏽 : @ohhjshrn @eli
DTWDF4zjZeL,post,3,462.72,-0.408,-0.289,@malaikurd just hit the stage at this year’s @afroson1cx at the @treehousegh and
DTWbdZDCm8O,post,3,32.78,-0.306,-0.185,@sisterdeborah front row at @afroson1cx happening @treehousegh Follow @play.afro
DTYjt6CjCak,post,3,83.24,-0.278,-0.18,Highlife legend Amakye Dede had the entire crowd dancing and singing along @afro
DTWDf52jfWL,post,3,34.21,-0.405,-0.292,"@malaikurd really set the standard at @afroson1cx this year, @treehousegh was pu"
DTWPJk2jYWg,post,3,8.06,-0.317,-0.186,"Massive energy,wild vocals w/ @tommywatomiwa at @afroson1cx inside @treehousegh "
DTYTzBijI1U,post,3,144,-0.359,-0.261,@afroson1cx 2026 was phenomenal! #thecavemen #amakyedede #tommywa #afroson1cx #f
DTYWwIHjCIw,post,3,680,-0.392,-0.275,tHeCavemen @afroson1cx @the.cavemen 📷: @emmezstudios
DTWt2lICmYC,post,3,4.69,-0.288,-0.182,Pitching it up to feel the groove. @the.cavemen @afroson1cx Follow @play.afro fo
DTWGdLaDbnP,post,3,127.51,-0.364,-0.274,@malaikurd talks about her soothing performance at @afroson1cx and her dream col
DTkh6yzjDrC,post,2,53.87,-0.143,-0.052,"When a legend touches the stage, the whole place comes alive 💃🏾🕺🏾 @amakyeded"
DTH5haVDIMh,post,7,143.81,-0.237,-0.047,"The Cavemen are coming to AFROSON1C X in Accra, Ghana. Highlife reimagined. Let'"
DTNkDUuDV7d,post,3,143.35,-0.32,-0.149,"The SERIOUS man himself, The Iron Boy - AMAKYE DEDE will be live this Saturday 1"
DRUVZQ3DJ9j,post,1,39.16,0.401,-0.219,Just another day at the best lunch spot in town! #treehouserestaurant #reels #lu
DSuGwbQjYW_,post,7,61.58,-0.23,-0.003,The setup for the Entertainment Week Ghana Atale Fashion Party is on-going ! @en
DQwtvPGDIfk,post,2,38.4,0.171,0.043,When the dinner turns into a dance floor… you know it’s a good night. Only at Tr
DQ66GBbDKtW,post,1,14,0.464,-0.301,TREEHOUSE RESTAURANT: Your new favourite evening escape. #treehouserestaurant #d
DS9xgWyDSms,post,7,91.42,-0.199,-0.025,Win a holiday to Ghana Experience with EATO Day three in Ghana ✨ And this is whe
