content_type,url,pillar,engagement_score,likes,comments,views,outlier_cutoff,caption_preview
post,https://www.instagram.com/p/DN7_M4B2HMT/,food,1827.76,951,5,85176,227.1,Feel the nostalgia. Taste the flavor. Soul Fridays hit different. #treehouserestaurant #soulmusic #rnb #throwback
reel,https://www.instagram.com/p/DN7_M4B2HMT/,food,1827.76,951,5,85176,227.1,Feel the nostalgia. Taste the flavor. Soul Fridays hit different. #treehouserestaurant #soulmusic #rnb #throwback
post,https://www.instagram.com/p/DOGh0AXjO7k/,food,1371.01,311,1,105501,227.1,Afro-house. Al fresco. Saturdays @ #TREEHOUSE Hosted by @b.frvnkie 7pm! #reels #afrohouse #alfresco #dinner #goodfood #foodinsta #weekendpla
reel,https://www.instagram.com/p/DOGh0AXjO7k/,food,1371.01,311,1,105501,227.1,Afro-house. Al fresco. Saturdays @ #TREEHOUSE Hosted by @b.frvnkie 7pm! #reels #afrohouse #alfresco #dinner #goodfood #foodinsta #weekendpla
post,https://www.instagram.com/p/DVyiMbpiIkL/,dinner/nightlife,1187.77,421,3,75177,227.1,POV: You chose dinner at Treehouse Restaurant From the flames to your table. Book your table tonight! RSVP +233599400737
reel,https://www.instagram.com/p/DVyiMbpiIkL/,dinner/nightlife,1187.77,421,3,75177,227.1,POV: You chose dinner at Treehouse Restaurant From the flames to your table. Book your table tonight! RSVP +233599400737
reel,https://www.instagram.com/p/Ct9Niq7gYWk/,events/live music/DJ,1162.34,488,1,66934,227.1,Get serenaded! Every Tuesday live music from the Blue Jackets Band! #LiveBand#LiveMusic
post,https://www.instagram.com/p/DNn3u9_Mt6A/,cocktails/drinks,931.62,472,0,45962,227.1,"THIS is your Friday night move. 🔥 @effthedj spinning throwback soul & R&B while you wine, dine, and vibe. You coming? #treehouserestaurant "
reel,https://www.instagram.com/p/DNn3u9_Mt6A/,cocktails/drinks,931.62,472,0,45962,227.1,"THIS is your Friday night move. 🔥 @effthedj spinning throwback soul & R&B while you wine, dine, and vibe. You coming? #treehouserestaurant "
reel,https://www.instagram.com/p/DQUsBoXEVxU/,cocktails/drinks,919.57,304,29,47057,227.1,"What does our digital future look, feel, and dream like? Join us for BLUR: Dreaming in Data, an immersive exhibition celebrating a new inter"
post,https://www.instagram.com/p/DLAi1YBsAZs/,ambience/decor/vibe,878.28,433,58,15528,227.1,"POV: You were at the first house music coffee party in Ghana 🇬🇭☕🎶 Vibes, movement, and something you’ve never seen before. S/O @cafecito_"
reel,https://www.instagram.com/p/DLAi1YBsAZs/,ambience/decor/vibe,878.28,433,58,15528,227.1,"POV: You were at the first house music coffee party in Ghana 🇬🇭☕🎶 Vibes, movement, and something you’ve never seen before. S/O @cafecito_"
post,https://www.instagram.com/p/DTYWwIHjCIw/,general brand/content,680,600,16,0,227.1,tHeCavemen @afroson1cx @the.cavemen 📷: @emmezstudios
post,https://www.instagram.com/p/DTWDF4zjZeL/,ambience/decor/vibe,462.72,250,34,4272,227.1,@malaikurd just hit the stage at this year’s @afroson1cx at the @treehousegh and the vibes are unreal 🔥 #mx24gh mx24gh #mxbreaks #afroson1c
reel,https://www.instagram.com/p/DTWDF4zjZeL/,ambience/decor/vibe,462.72,250,34,4272,227.1,@malaikurd just hit the stage at this year’s @afroson1cx at the @treehousegh and the vibes are unreal 🔥 #mx24gh mx24gh #mxbreaks #afroson1c
post,https://www.instagram.com/p/DNQSqkYsJ0i/,food,429.3,209,6,19030,227.1,SOUL FRIDAY is Where Taste Meets Tempo. Every Friday we're serving up classic Soul and R&B hits with @templegramme and delicious food. Wheth
reel,https://www.instagram.com/p/DNQSqkYsJ0i/,food,429.3,209,6,19030,227.1,SOUL FRIDAY is Where Taste Meets Tempo. Every Friday we're serving up classic Soul and R&B hits with @templegramme and delicious food. Wheth
reel,https://www.instagram.com/p/DYhwSa6saZL/,food,428.31,135,0,29331,227.1,"When the dinner turns into a dance floor, you know its a good night #treehouserestaurant #lunch #dinner #goodfood"
post,https://www.instagram.com/p/DYhwSa6saZL/,food,428.23,135,0,29323,227.1,"When the dinner turns into a dance floor, you know its a good night #treehouserestaurant #lunch #dinner #goodfood"
reel,https://www.instagram.com/p/C_dLWQECoCe/,events/live music/DJ,403.9,236,4,14790,227.1,Start your weekend early with some jazz tunes from @bluejackets_cover every Thursday at 7pm! #reels #treehouse #explore #jazzmusic #jazz #re
post,https://www.instagram.com/p/DF-h8-Ti51M/,food,401.75,182,1,21475,227.1,"Enjoy the rhythm of love with amazing meals, refreshing drinks and music from top DJs on Valentine’s Day this Friday, from 6pm! Call or What"
reel,https://www.instagram.com/p/DF-h8-Ti51M/,food,401.75,182,1,21475,227.1,"Enjoy the rhythm of love with amazing meals, refreshing drinks and music from top DJs on Valentine’s Day this Friday, from 6pm! Call or What"
post,https://www.instagram.com/p/DHBelZACkVf/,food,390.01,240,0,15001,227.1,"Good food, great vibes and soulful beats - that's what “Soul Friday” is about! Come to #treehouserestaurant on Fridays from 6pm to feast on "
reel,https://www.instagram.com/p/DHBelZACkVf/,food,390.01,240,0,15001,227.1,"Good food, great vibes and soulful beats - that's what “Soul Friday” is about! Come to #treehouserestaurant on Fridays from 6pm to feast on "
post,https://www.instagram.com/p/DEFdW_5o6wY/,general brand/content,289.97,160,16,4997,227.1,Afropark Recap @treehousegh
reel,https://www.instagram.com/p/DEFdW_5o6wY/,general brand/content,289.97,160,16,4997,227.1,Afropark Recap @treehousegh
reel,https://www.instagram.com/p/DDkPBcmqTGz/,food,284.67,-1,15,21067,227.1,"GET READY FOR THE ULTIMATE FASHION EXPERIENCE! Mark your calendars for January 4th, 2025, as the @treehousegh transforms into a vibrant hub "
post,https://www.instagram.com/p/DHqrTt4iPp4/,food,282.3,186,1,9130,227.1,"Come for the soulful tunes, stay for the mouthwatering dishes! Join us for “Soul Fridays” at #treehouserestaurant every Friday from 7pm, to "
reel,https://www.instagram.com/p/DHqrTt4iPp4/,food,282.3,186,1,9130,227.1,"Come for the soulful tunes, stay for the mouthwatering dishes! Join us for “Soul Fridays” at #treehouserestaurant every Friday from 7pm, to "
reel,https://www.instagram.com/p/CzWcDSpMoh9/,date night/romance,259.18,194,1,6018,227.1,Live music with us tonight at the #Treehouse. Come through and enjoy😊 #livemusic #liveband #musiclover #reels #explore #dinner
post,https://www.instagram.com/p/DKnAl-vOeT_/,general brand/content,248,193,11,0,227.1,🇬🇭🌳☀️☺️
post,https://www.instagram.com/p/DMDODdDIl7R/,ambience/decor/vibe,241.96,114,13,6296,227.1,The brew that started it all. ☕✨ This is Cafecito. Ready for the next brew? #Cafecito #MorningBrew #CoffeeVibes #MorningParty #AccraEvents #
reel,https://www.instagram.com/p/DMDODdDIl7R/,ambience/decor/vibe,241.96,114,13,6296,227.1,The brew that started it all. ☕✨ This is Cafecito. Ready for the next brew? #Cafecito #MorningBrew #CoffeeVibes #MorningParty #AccraEvents #
