id,content_type,instagram_type,product_type,url,shortcode,timestamp,date,day_of_week,hour_utc,caption,caption_length,hashtag_count,hashtags,mention_count,mentions,likes,comments,views,owner_username,pillar,engagement_score
3845479097724321190,post,Video,clips,https://www.instagram.com/p/DVd4t17DD2m/,DVd4t17DD2m,2026-03-04T15:08:35.000Z,2026-03-04,Wednesday,15,"This Friday, it’s a special Independence Edition of Soul Fridays with @templegramme on the decks. Soul music. Signature dishes. Cocktails flowing. Celebrate Ghana in style with us. Tag your Friday crew & book your table now. RSVP +233599400737",243,0,,1,templegramme,35,0,1917,treehousegh,food,54.17
3864954145299834631,post,Video,clips,https://www.instagram.com/p/DWjE1FXxScH/,DWjE1FXxScH,2026-03-31T12:00:23.000Z,2026-03-31,Tuesday,12,,0,0,,0,,11,0,1316,treehousegh,general brand/content,24.16
3894207245840075657,post,Sidecar,,https://www.instagram.com/p/DYLANuSDMuJ/,DYLANuSDMuJ,2026-05-10T20:41:40.000Z,2026-05-10,Sunday,20,Had an amazing time capturing the energy and passion of Run Club @valorcitywc @treehousegh this weekend! 🏃‍♂️💨 Such a great community of runners pushing each other to new heights. Photos by @kwamekaydee #kwamekaydee #runclub #accra #marathon,243,4,kwamekaydee runclub accra marathon,3,valorcitywc treehousegh kwamekaydee,126,3,0,kwamekaydee,food,141
3892503865067813196,post,Video,clips,https://www.instagram.com/p/DYE86RUM7lM/,DYE86RUM7lM,2026-05-08T12:24:32.000Z,2026-05-08,Friday,12,"Everyone at the Accra mixer made sure to show up and show out 💫🇬🇭 From industry leaders, cultural tastemakers, and the next generation of African creatives, we gathered on the Gold Coast for a night that reminded us exactly why this city is like no other. 📌 As the sun went down we made our way to @treehousegh for spectacular live performances from @lasmidofficial1 @veolagram , @siicie_ and @iamjubed_ presented by the family at @audiomack while cocktails circled the room courtesy of @hennessy as they kept the energy flowing. Accra displayed the kind of honest, electric conversation between people who are genuinely building something together. New connections were made, ideas were exchanged, and the night carried on the way only Accra knows how. 🍸🌴 🎥 | @iamjunie07",779,0,,8,treehousegh lasmidofficial1 veolagram siicie_ iamjubed_ audiomack hennessy iamjunie07,81,1,1770,africahousemembersclub,food,103.7
3899601389026651753,post,Sidecar,,https://www.instagram.com/p/DYeKs1mja5p/,DYeKs1mja5p,2026-05-18T07:18:52.000Z,2026-05-18,Monday,7,VALORCITY- The City That Runs (TCTR)🏃‍♂️,41,0,,0,,71,0,0,valorcitywc,general brand/content,71
3851291019258136843,post,Video,clips,https://www.instagram.com/p/DVyiMbpiIkL/,DVyiMbpiIkL,2026-03-12T15:35:38.000Z,2026-03-12,Thursday,15,POV: You chose dinner at Treehouse Restaurant From the flames to your table. Book your table tonight! RSVP +233599400737,120,0,,0,,421,3,75177,treehousegh,dinner/nightlife,1187.77
3844661023173680559,post,Sidecar,,https://www.instagram.com/p/DVa-tSoDp2v/,DVa-tSoDp2v,2026-03-03T12:03:10.000Z,2026-03-03,Tuesday,12,,0,0,,0,,5,0,0,treehousegh,general brand/content,5
3846111044616640270,post,Sidecar,,https://www.instagram.com/p/DVgIZ4VFNcO/,DVgIZ4VFNcO,2026-03-05T12:03:22.000Z,2026-03-05,Thursday,12,"Come for the meal, stay for the atmosphere. Your table is waiting!",66,0,,0,,12,0,0,treehousegh,food,12
3900611124364682827,post,Video,clips,https://www.instagram.com/p/DYhwSa6saZL/,DYhwSa6saZL,2026-05-19T16:45:51.000Z,2026-05-19,Tuesday,16,"When the dinner turns into a dance floor, you know its a good night #treehouserestaurant #lunch #dinner #goodfood",113,4,treehouserestaurant lunch dinner goodfood,0,,135,0,29323,treehousegh,food,428.23
3852813798984570446,post,Video,clips,https://www.instagram.com/p/DV38byyMtZO/,DV38byyMtZO,2026-03-14T18:00:01.000Z,2026-03-14,Saturday,18,"Plates full 🍽, glasses clinking🥂, smiles everywhere. Tag a friend you're bringing over for lunch! #treehouserestaurant #goodfood #lunch #dinner",145,4,treehouserestaurant goodfood lunch dinner,0,,39,2,1863,treehousegh,food,67.63
