id,content_type,instagram_type,product_type,url,shortcode,timestamp,date,day_of_week,hour_utc,caption,caption_length,hashtag_count,hashtags,mention_count,mentions,likes,likes_missing,comments,views,views_missing,owner_username,pillar,engagement_score
3890576078392503400,reel,Video,clips,https://www.instagram.com/p/DX-GlSEN6xo/,DX-GlSEN6xo,2026-05-05T20:28:51.000Z,2026-05-05,Tuesday,20,Everyone is Warming up gently for 9th. Get your gears READY🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️,79,0,,0,,16,false,1,321,false,valorcitywc,general brand/content,24.21
3864954145299834631,reel,Video,clips,https://www.instagram.com/p/DWjE1FXxScH/,DWjE1FXxScH,2026-03-31T12:00:23.000Z,2026-03-31,Tuesday,12,,0,0,,0,,11,false,0,1316,false,treehousegh,general brand/content,24.16
3448962797223444638,reel,Video,clips,https://www.instagram.com/p/C_dLWQECoCe/,C_dLWQECoCe,2024-09-03T13:00:12.000Z,2024-09-03,Tuesday,13,Start your weekend early with some jazz tunes from @bluejackets_cover every Thursday at 7pm! #reels #treehouse #explore #jazzmusic #jazz #restaurant #explore,157,6,reels treehouse explore jazzmusic jazz restaurant,1,bluejackets_cover,236,false,4,14790,false,treehousegh,events/live music/DJ,403.9
3900611124364682827,reel,Video,clips,https://www.instagram.com/p/DYhwSa6saZL/,DYhwSa6saZL,2026-05-19T16:45:51.000Z,2026-05-19,Tuesday,16,"When the dinner turns into a dance floor, you know its a good night #treehouserestaurant #lunch #dinner #goodfood",113,4,treehouserestaurant lunch dinner goodfood,0,,135,false,0,29331,false,treehousegh,food,428.31
3895527268196624390,reel,Video,clips,https://www.instagram.com/p/DYPsWk5tSgG/,DYPsWk5tSgG,2026-05-12T16:29:37.000Z,2026-05-12,Tuesday,16,"At Valorcity, we Value Community. Under the umbrella of a community, nurturing starts and growth is achieved. A community stands as one to uplift and embrace all levels of humanity. Thats what we stand for!! 🫶🫶🫶🫶❤️❤️❤️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️ A big Thank You to our Core Partners @treehousegh @mpharmamutti",306,0,,2,treehousegh mpharmamutti,54,false,1,2084,false,valorcitywc,price/value,79.84
3893903121020502919,reel,Video,clips,https://www.instagram.com/p/DYJ7EH-NkOH/,DYJ7EH-NkOH,2026-05-10T10:39:52.000Z,2026-05-10,Sunday,10,"On this Beautiful day, we intentionally want to celebrate all women. Happy Mothers day. Without mothers or women, life would have been boring😀😀❤️❤️🤝🤝🏃‍♂️🏃‍♂️🏃‍♂️ #happymothersday",185,1,happymothersday,0,,43,false,1,867,false,valorcitywc,ambience/decor/vibe,56.67
3836687726926365009,reel,Video,clips,https://www.instagram.com/p/DU-pyj1jAFR/,DU-pyj1jAFR,2026-02-20T12:00:57.000Z,2026-02-20,Friday,12,,0,0,,0,,22,false,0,2710,false,treehousegh,general brand/content,49.1
3828628967113115252,reel,Video,clips,https://www.instagram.com/p/DUiBcK5jEZ0/,DUiBcK5jEZ0,2026-02-09T09:10:54.000Z,2026-02-09,Monday,9,Love on the plate. Rhythm in the air. 🌹🎶 Treehouse Rhythms: Valentine’s Day Edition Featuring our special Vals-Day menu made for sharing ❤️ 📆 Saturday 14th February ⏰️ 7:00pm #treehouserestaurant #valentinesday #reels #explore,229,4,treehouserestaurant valentinesday reels explore,0,,22,false,0,1965,false,treehousegh,food,41.65
3849826066874141552,reel,Video,clips,https://www.instagram.com/p/DVtVGkbEotw/,DVtVGkbEotw,2026-03-10T15:05:07.000Z,2026-03-10,Tuesday,15,,0,0,,0,,11,false,0,269,false,treehousegh,general brand/content,13.69
3852813798984570446,reel,Video,clips,https://www.instagram.com/p/DV38byyMtZO/,DV38byyMtZO,2026-03-14T18:00:01.000Z,2026-03-14,Saturday,18,"Plates full 🍽, glasses clinking🥂, smiles everywhere. Tag a friend you're bringing over for lunch! #treehouserestaurant #goodfood #lunch #dinner",145,4,treehouserestaurant goodfood lunch dinner,0,,39,false,2,1863,false,treehousegh,food,67.63
