period_type,period,content_count,avg_engagement_score,avg_likes,avg_comments,avg_views
day_of_week,Monday,20,198.86,99.15,1.9,9021.35
day_of_week,Tuesday,43,179.97,75.14,3.33,8820.7
day_of_week,Friday,47,147.64,77.53,1.55,6233.74
day_of_week,Thursday,38,141.39,62.39,0.74,7531.61
day_of_week,Sunday,17,120.65,79.94,3.41,2365.12
day_of_week,Saturday,27,104.15,53.44,5.56,2292.7
day_of_week,Wednesday,27,94.56,55.19,0.78,3548.44
hour_utc,Unknown,3,44.85,15.67,2,1918.67
hour_utc,2,1,97,67,6,0
hour_utc,3,6,62.78,27.67,5.33,845
hour_utc,4,2,31.5,29,0.5,0
hour_utc,7,2,80.73,64,1,1173
hour_utc,8,2,61.58,-1,0,6258
hour_utc,9,8,61.96,26.5,0.75,3171.25
hour_utc,10,3,79.84,13.67,4.33,4450.33
hour_utc,11,5,765.42,408.6,2.8,34282.4
hour_utc,12,69,58.93,35.87,0.38,2117.78
hour_utc,13,21,232.02,82.48,2.71,13597.24
hour_utc,14,8,232.27,113,4.13,9864
hour_utc,15,34,161.25,76.59,0.79,8069.5
hour_utc,16,21,245.74,118.95,5.81,9773.62
hour_utc,17,6,69.61,21.17,2.67,3511.17
hour_utc,18,9,249.87,158.44,7,5642.56
hour_utc,19,5,32.82,7,0.2,2482.4
hour_utc,20,6,65.08,45,1,1508.17
hour_utc,21,6,208.15,115.33,13.33,2614.67
hour_utc,22,2,8.06,-1,0,906
